Assessment_url,Assessment_Length,Description,Job_Levels,Languages,Test_Type,Remote_Support ,Adaptive_Support
https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,Approximate Completion Time in minutes = 17,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,Approximate Completion Time in minutes = 20,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/agile-software-development/,Approximate Completion Time in minutes = 7 minutes,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.","Graduate,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/agile-testing-new/,Approximate Completion Time in minutes = 13,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/ai-skills/,Approximate Completion Time in minutes = 16,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,"General Population,","English (USA),",P,Yes,No
https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/android-development-new/,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/angular-6-new/,Approximate Completion Time in minutes = 11,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",,English (USA),K,Yes,No
https://www.shl.com/products/product-catalog/view/angularjs-new/,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.","Mid-Professional, Professional Individual Contributor,",English (USA),K,Yes,No
https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.","Mid-Professional, Professional Individual Contributor,",English (USA),K,Yes,No
https://www.shl.com/products/product-catalog/view/apache-hbase-new/,Approximate Completion Time in minutes = 5,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/apache-hive-new/,Approximate Completion Time in minutes = 5,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/apache-kafka-new/,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/apache-pig-new/,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
https://www.shl.com/products/product-catalog/view/apache-spark-new/,Approximate Completion Time in minutes = 8,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.","Mid-Professional, Professional Individual Contributor,","English (USA),",K,Yes,No
