assessment_url,data1,data2
https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,Description,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce."
https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,Assessment length,Approximate Completion Time in minutes = 7
https://www.shl.com/products/product-catalog/view/angularjs-new/,Description,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing."
https://www.shl.com/products/product-catalog/view/angularjs-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/angularjs-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/angularjs-new/,Assessment length,Approximate Completion Time in minutes = 9
https://www.shl.com/products/product-catalog/view/angular-6-new/,Description,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation."
https://www.shl.com/products/product-catalog/view/angular-6-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/angular-6-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/angular-6-new/,Assessment length,Approximate Completion Time in minutes = 11
https://www.shl.com/products/product-catalog/view/android-development-new/,Description,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing."
https://www.shl.com/products/product-catalog/view/android-development-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/android-development-new/,Languages,"English (USA),"
https://www.shl.com/products/product-catalog/view/android-development-new/,Assessment length,Approximate Completion Time in minutes = 7
https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,Description,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability."
https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,Job levels,"Mid-Professional, Professional Individual Contributor,"
https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,Languages,"English (USA),"
